territory,tier,state,county,major_city,zipcode,population,median_household_income,income_factor,target_clinics,npi_providers,npi_locations,our_accts,open_clinics,annual_potential,current_owner
Dallas (DFW),1,TX,Denton County,Flower Mound,75028,42226,111391,1.395312461447411,6,12,6,1,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Denton County,The Colony,75056,47852,79251,1.1769250239100963,6,3,2,1,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Denton County,Lewisville,75067,60982,56555,0.9942186941822437,6,,,1,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Denton County,Lewisville,75077,35330,99629,1.3195908853078153,5,,,0,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Desoto,75115,48877,61729,1.0387021779975605,5,1,1,0,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Mesquite,75149,56065,47739,0.9134464246711305,5,,,0,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Mesquite,75150,58730,45999,0.8966451768428773,5,7,4,0,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75228,66551,36274,0.7962402837743896,5,,,0,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Arlington,76017,44724,68538,1.094490849755764,5,3,3,0,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Fort Worth,76133,48394,51123,0.9452671969562144,5,1,1,0,5,17500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Garland,75044,40811,64302,1.060128871086111,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Grand Prairie,75050,41041,44548,0.8823898970713605,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Irving,75060,45980,45775,0.8944593289619945,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Irving,75061,53442,40084,0.8370125085074926,4,6,4,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Denton County,Little Elm,75068,34934,85446,1.2220593267713873,4,1,1,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Collin County,Plano,75074,44622,54518,0.9761495966443621,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Richardson,75081,34156,63470,1.053248066796395,4,3,2,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Rowlett,75089,30251,86134,1.2269693935986166,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Cedar Hill,75104,45373,67691,1.0877069074113008,5,5,4,1,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Kaufman County,Forney,75126,33396,85677,1.2237101071943177,4,1,1,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75214,32950,69168,1.0995096126417534,4,3,2,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75227,55029,37720,0.8119555665085082,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75229,31571,70625,1.1110296572374452,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75243,55406,35944,0.7926101404789045,4,6,6,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Denton County,Dallas,75287,49004,46828,0.9046888261285143,4,3,2,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Arlington,76002,30269,79376,1.177852820805594,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Arlington,76010,55706,31108,0.7373649104388013,4,1,1,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Arlington,76016,30852,81635,1.194495780742427,4,1,1,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Fort Worth,76108,38227,58528,1.0114123757598072,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Fort Worth,76116,46746,41573,0.8524170034639523,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Fort Worth,76123,29722,81008,1.189899758909426,4,,,0,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Tarrant County,Keller,76248,34647,111606,1.396658385095498,5,,,1,4,14000,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Coppell,75019,38666,110445,1.3893749079665485,5,5,4,2,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Collin County,Frisco,75035,47553,102913,1.3411629293360745,6,9,7,3,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Garland,75041,30700,40136,0.8375552505457496,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Garland,75042,37881,39811,0.8341573192297591,3,5,2,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Sachse,75048,20328,87171,1.2343332714745008,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Grand Prairie,75051,39285,40107,0.8372526108789423,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Irving,75062,44537,45872,0.8954065342024808,4,,,1,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Collin County,Mckinney,75069,34108,45907,0.8957480633823297,3,3,1,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Richardson,75080,44009,60440,1.0278000851812958,5,9,7,2,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Collin County,Richardson,75082,21182,111726,1.3974090346095953,3,7,4,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Rowlett,75088,24712,81425,1.1929584153889379,3,2,1,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Collin County,Plano,75094,20579,116344,1.4259963604200339,3,1,1,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Mesquite,75181,25908,73879,1.1363364186548244,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Rockwall County,Royse City,75189,22406,73146,1.1306852124600566,3,,,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75206,36248,52192,0.9550990018367559,3,1,1,0,3,10500,Jamie Bergeron
Dallas (DFW),1,TX,Dallas County,Dallas,75216,49416,23294,0.638070192619854,3,,,0,3,10500,Jamie Bergeron
